bw_1h_crowbill | melee | Master's Crowbill | bw_adept,bw_necromancer,bw_scholar,bw_unchained
es_deus_01 | melee | Blacksmith's Spear & Shield | es_huntsman,es_knight,es_mercenary
es_dual_wield_hammer_sword | melee | Sergeant's Trusty Companions | es_huntsman,es_knight,es_mercenary,es_questingknight
es_halberd | melee | Recruit's Chopping Stick | es_huntsman,es_knight,es_mercenary
es_handgun | ranged | Recruit's Handgun | es_huntsman,es_knight,es_mercenary
es_longbow | ranged | Soldier's Longbow | es_huntsman
es_mace_shield | melee | Recruit's Mace and Shield | es_huntsman,es_knight,es_mercenary,es_questingknight
es_repeating_handgun | ranged | Soldier's Repeating Handgun | es_huntsman,es_knight,es_mercenary
es_sword_shield | melee | Recruit's Longsword and Shield | es_huntsman,es_knight,es_mercenary,es_questingknight
es_sword_shield_breton | melee | Gallant's Sword and Shield | es_questingknight
we_1h_axe | melee | Glade Guardian's Hadraich | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_1h_spears_shield | melee | Tiranoc Watch-Shield | we_maidenguard
we_1h_sword | melee | Glade Guardian's Ceyl | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_2h_axe | melee | Greenleaf's Khelthrax | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_2h_sword | melee | Greenleaf's Draich | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_crossbow_repeater | ranged | Stalker's Crossbow | we_shade
we_deus_01 | ranged | Woodweaver's Moonfire Bow | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_dual_wield_daggers | melee | Glade Guardian's Glaia | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_dual_wield_sword_dagger | melee | Greenleaf's Galria | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_dual_wield_swords | melee | Greenleaf's Celya | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_javelin | ranged | Mournglade Kindrathi | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_life_staff | ranged | Mournglade Sariothi | we_thornsister
we_longbow | ranged | Glade Guardian's Nastirrath | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_shortbow | ranged | Greenleaf's Edduath | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_shortbow_hagbane | ranged | Greenleaf's Kenuiath | we_maidenguard,we_shade,we_thornsister,we_waywatcher
we_spear | melee | Greenleaf's Drannach | we_maidenguard,we_shade,we_thornsister,we_waywatcher
wh_1h_axe | melee | Patchwork Axe | wh_bountyhunter,wh_captain,wh_zealot
wh_1h_falchion | melee | Templar's Excoriator | wh_bountyhunter,wh_captain,wh_zealot
wh_1h_hammer | melee | Noviciateâ€™s Skull-Splitter | wh_priest,wh_zealot
wh_2h_billhook | melee | The Spear of Stirland | wh_bountyhunter,wh_captain,wh_zealot
wh_2h_hammer | melee | Noviciateâ€™s Reckoner | wh_priest,wh_zealot
wh_2h_sword | melee | Unbalanced Greatsword | wh_bountyhunter,wh_captain,wh_zealot
wh_brace_of_pistols | ranged | Patchwork Pistols | wh_bountyhunter,wh_captain,wh_zealot
wh_crossbow | ranged | Patchwork Crossbow | wh_bountyhunter,wh_captain,wh_zealot
wh_crossbow_repeater | ranged | Templar's Repeater Crossbow | wh_bountyhunter,wh_captain,wh_zealot
wh_deus_01 | ranged | Blacksmith's Griffon-foot | wh_bountyhunter,wh_captain,wh_zealot
wh_dual_hammer | melee | Noviciateâ€™s Paired Skull-splitters | wh_priest,wh_zealot
wh_dual_wield_axe_falchion | melee | Templar's Twin Excoriators | wh_bountyhunter,wh_captain,wh_zealot
wh_fencing_sword | melee | Unbalanced Rapier | wh_bountyhunter,wh_captain,wh_zealot
wh_flail_shield | melee | Noviciateâ€™s Flail & Shield | wh_priest
wh_hammer_book | melee | Noviciateâ€™s Skull-Splitter & Blessed Tome | wh_priest
wh_hammer_shield | melee | Noviciateâ€™s Skull-Splitter & Shield | wh_priest
wh_repeating_pistols | ranged | Patchwork Pistol | wh_bountyhunter,wh_captain,wh_zealot
